method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N
rmsprop,0.0003,sgd,1337,0.01098464403825912,0.014758218558359211,50
rmsprop,0.0003,sgd,31415,0.03121459787678424,0.042845768688152874,50
rmsprop,0.001,full,42,0.2506186970983107,0.2547812188051402,50
rmsprop,0.001,full,1337,0.19738089325075556,0.21039466917767108,50
rmsprop,0.001,full,31415,0.19929613643508012,0.22206057836769072,50
rmsprop,0.003,full,42,8.832212882310746,8.085941524553384,50
rmsprop,0.003,full,1337,1.6873713171807967,1.556867156435737,50
rmsprop,0.003,full,31415,2.8591547847195304,2.6821742199686476,50
rmsprop,0.01,full,42,47366.316774777406,43527.871747515936,50
rmsprop,0.01,full,1337,20261.472949083705,18461.743190767906,50
rmsprop,0.01,full,31415,429074.9819095968,399419.79873691825,50
rmsprop,0.03,full,42,870397099.1005272,796918441.6899986,50
rmsprop,0.03,full,1337,882770401.8077435,803651784.2366632,50
rmsprop,0.03,full,31415,532782061.8592241,484970437.5144972,50
