method,eta,batch_mode,seed,mean_lastN_train,mean_lastN_val,N,all_nan
adagrad,0.0001,full,1337,0.13701721554206728,0.16600854981840676,50,False
adagrad,0.0001,full,31415,0.14459530711675414,0.16683760775540515,50,False
adagrad,0.0001,sgd,42,0.13140878494722816,0.1603116168453414,50,False
adagrad,0.0001,sgd,1337,0.13056812867134612,0.1583599033707569,50,False
adagrad,0.0001,sgd,31415,0.14024036033614898,0.16103779996927783,50,False
adagrad,0.00017782794100389227,full,42,0.1358467029752581,0.16518071413662372,50,False
adagrad,0.00017782794100389227,full,1337,0.13627475593589147,0.16513317791447094,50,False
adagrad,0.00017782794100389227,full,31415,0.14393701936244768,0.16597989866014856,50,False
adagrad,0.00017782794100389227,sgd,42,0.126898729368877,0.15506252458963823,50,False
adagrad,0.00017782794100389227,sgd,1337,0.12260660123170913,0.1489207204127803,50,False
adagrad,0.00017782794100389227,sgd,31415,0.13599672950154812,0.15612593108575148,50,False
adagrad,0.00031622776601683794,full,42,0.1343804441899572,0.16358411904681508,50,False
adagrad,0.00031622776601683794,full,1337,0.13495760313131813,0.16335148275523964,50,False
adagrad,0.00031622776601683794,full,31415,0.14275054646160074,0.16476350677346768,50,False
adagrad,0.00031622776601683794,sgd,42,0.11945655837572926,0.14640615823925077,50,False
adagrad,0.00031622776601683794,sgd,1337,0.09009056215468622,0.10994411539063063,50,False
adagrad,0.00031622776601683794,sgd,31415,0.12432550233669869,0.14220949378012052,50,False
adagrad,0.0005623413251903491,full,42,0.13160771196439888,0.159779992150274,50,False
adagrad,0.0005623413251903491,full,1337,0.1326402744958648,0.16084492940926964,50,False
adagrad,0.0005623413251903491,full,31415,0.1404557395559276,0.1617816132661655,50,False
adagrad,0.0005623413251903491,sgd,42,0.10250885141501156,0.12656262416101552,50,False
adagrad,0.0005623413251903491,sgd,1337,0.012703029525357021,0.014631989865209465,50,False
adagrad,0.0005623413251903491,sgd,31415,0.10656018890945768,0.12113229723893898,50,False
adagrad,0.001,full,42,0.12634815450635148,0.15290591641231244,50,False
adagrad,0.001,full,1337,0.12809308428554794,0.15531962108855757,50,False
adagrad,0.001,full,31415,0.1367627671296303,0.15718234873945647,50,False
adagrad,0.001,sgd,42,0.03498936688179513,0.04471225567404171,50,False
adagrad,0.001,sgd,1337,0.0025285836788541184,0.0024060098708734074,50,False
adagrad,0.001,sgd,31415,0.05286825747607453,0.05735717224767833,50,False
adagrad,0.0017782794100389228,full,42,0.1143461718105259,0.13905074885221114,50,False
adagrad,0.0017782794100389228,full,1337,0.1182272884051752,0.1433996289825821,50,False
adagrad,0.0017782794100389228,full,31415,0.13123396789531103,0.14969129218943983,50,False
adagrad,0.0017782794100389228,sgd,42,0.00526168906674242,0.007021017402139685,50,False
adagrad,0.0017782794100389228,sgd,1337,0.01179035372652377,0.009525857502049153,50,False
adagrad,0.0017782794100389228,sgd,31415,0.013493746550046338,0.013110471279487335,50,False
adagrad,0.0031622776601683794,full,42,0.11453577779703913,0.1370062424460278,50,False
adagrad,0.0031622776601683794,full,1337,0.10803700966398494,0.12808235164556142,50,False
adagrad,0.0031622776601683794,full,31415,0.1225410620691051,0.14131536356963437,50,False
adagrad,0.0031622776601683794,sgd,42,0.014950621712828389,0.015451149683680603,50,False
adagrad,0.0031622776601683794,sgd,1337,0.008703052148633822,0.0049626968423610975,50,False
adagrad,0.0031622776601683794,sgd,31415,0.0022838568220725384,0.002455488117641332,50,False
adagrad,0.005623413251903491,full,42,0.1094267071214368,0.1289548626736722,50,False
adagrad,0.005623413251903491,full,1337,0.11519823280840474,0.13171203817414698,50,False
adagrad,0.005623413251903491,full,31415,0.11912018913274036,0.1349279947607559,50,False
adagrad,0.005623413251903491,sgd,42,0.014966723194190828,0.016941912994212535,50,False
adagrad,0.005623413251903491,sgd,1337,0.0018211457924407193,0.0018574164957171051,50,False
adagrad,0.005623413251903491,sgd,31415,0.0033075253382823396,0.004924729555575026,50,False
adagrad,0.01,full,42,0.2776702537152849,0.25783812684857715,50,False
adagrad,0.01,full,1337,0.1525924727437108,0.14666418803621903,50,False
adagrad,0.01,full,31415,0.21434007683238673,0.21882477110190873,50,False
adagrad,0.01,sgd,42,0.009125006965080283,0.011956383928445972,50,False
adagrad,0.01,sgd,1337,0.0022071337624744725,0.00272422608589221,50,False
adagrad,0.01,sgd,31415,0.0025667858999953753,0.004473948681450494,50,False
adagrad,0.01778279410038923,full,42,1.2551052453095293,1.098582142624616,50,False
adagrad,0.01778279410038923,full,1337,3.349268790472588,2.6566908392640456,50,False
adagrad,0.01778279410038923,full,31415,2.3071603819048176,1.9118587720885,50,False
